cuisine,ingredients,keywords,name,rating,rating_count,recipe_category,recipe_cuisine,recipe_link
African,,,,,,,,https://www.epicurious.com/recipes/food/views/saffron-cardamom-rice-100677
African,,,,,,,,https://www.epicurious.com/recipes/food/views/drunken-chicken-105465
African,,,,,,,,https://www.epicurious.com/recipes/food/views/harira-11530
African,,,,,,,,https://www.epicurious.com/recipes/food/views/morrocan-style-roast-cornish-hens-with-vegetables-106050
African,,,,,,,,https://www.epicurious.com/recipes/food/views/traditional-senegalese-soup-21-club-10779
African,,,,,,,,https://www.epicurious.com/recipes/food/views/andouille-sausage-and-corn-bread-stuffing-102481
African,,,,,,,,https://www.epicurious.com/recipes/food/views/moroccan-carrot-and-goat-cheese-sandwiches-with-green-olive-tapenade-106890
African,,,,,,,,https://www.epicurious.com/recipes/food/views/spiced-chicken-couscous-with-cinnamon-onions-107496
African,,,,,,,,https://www.epicurious.com/recipes/food/views/spiced-moroccan-chicken-with-onions-and-prunes-4503
African,,,,,,,,https://www.epicurious.com/recipes/food/views/ethiopian-spice-mix-berbere-104015
African,,,,,,,,https://www.epicurious.com/recipes/food/views/african-adobo-rubbed-tuna-steaks-108201
African,,,,,,,,https://www.epicurious.com/recipes/food/views/spaghetti-with-garlic-and-cumin-107482
African,,,,,,,,https://www.epicurious.com/recipes/food/views/moroccan-lamb-tagine-with-raisins-almonds-and-honey-108492
African,,,,,,,,https://www.epicurious.com/recipes/food/views/braised-cod-with-chickpeas-102125
African,,,,,,,,https://www.epicurious.com/recipes/food/views/couscous-with-dried-apricots-and-pistachios-2239
African,,,,,,,,https://www.epicurious.com/recipes/food/views/morrocan-spiced-roasted-vegetables-103071
African,,,,,,,,https://www.epicurious.com/recipes/food/views/fried-fish-with-moroccan-style-herb-sauce-12366
African,,,,,,,,https://www.epicurious.com/recipes/food/views/ras-el-hanout-101070
African,,,,,,,,https://www.epicurious.com/recipes/food/views/yassa-au-poulet-ii-chicken-yassa-100674
African,,,,,,,,https://www.epicurious.com/recipes/food/views/black-eyed-pea-fritters-with-hot-pepper-relish-106044
African,,,,,,,,https://www.epicurious.com/recipes/food/views/bean-fritters-with-hot-sauce-103385
African,,,,,,,,https://www.epicurious.com/recipes/food/views/braised-broccoli-with-olives-106872
African,,,,,,,,https://www.epicurious.com/recipes/food/views/moroccan-style-cornish-game-hens-103910
African,,,,,,,,https://www.epicurious.com/recipes/food/views/moroccan-chicken-with-eggplant-tomatoes-and-almonds-109146
African,,,,,,,,https://www.epicurious.com/recipes/food/views/-em-yeabesha-gomen-em-collard-greens-104783
African,,,,,,,,https://www.epicurious.com/recipes/food/views/tunisian-fish-cakes-with-lemon-and-paprika-aioli-107907
African,,,,,,,,https://www.epicurious.com/recipes/food/views/spiced-lamb-pie-14902
African,,,,,,,,https://www.epicurious.com/recipes/food/views/turkey-bstilla-101069
African,,,,,,,,https://www.epicurious.com/recipes/food/views/preserved-meyer-lemons-102747
African,,,,,,,,https://www.epicurious.com/recipes/food/views/cardamom-tea-granita-105259
African,,,,,,,,https://www.epicurious.com/recipes/food/views/eggplant-omelet-with-coriander-and-caraway-306
African,,,,,,,,https://www.epicurious.com/recipes/food/views/moroccan-chicken-and-lentils-109056
African,,,,,,,,https://www.epicurious.com/recipes/food/views/moroccan-lamb-kebabs-with-golden-couscous-108302
African,,,,,,,,https://www.epicurious.com/recipes/food/views/peanut-soup-with-rice-and-scallions-103559
African,,,,,,,,https://www.epicurious.com/recipes/food/views/chicken-yassa-104782
African,,,,,,,,https://www.epicurious.com/recipes/food/views/maghrebi-sweet-couscous-seffa-104020
African,,,,,,,,https://www.epicurious.com/recipes/food/views/african-peanut-soup-12030
African,,,,,,,,https://www.epicurious.com/recipes/food/views/chicken-and-vegetables-braised-in-peanut-sauce-106049
African,,,,,,,,https://www.epicurious.com/recipes/food/views/berbere-crusted-rack-of-lamb-104014
African,,,,,,,,https://www.epicurious.com/recipes/food/views/spiced-herb-marinade-for-fish-107794
American,,,,,,,,https://www.epicurious.com/recipes/food/views/banana-coconut-muffins-109473
American,,,,,,,,https://www.epicurious.com/recipes/food/views/fried-bologna-sandwich
American,,,,,,,,https://www.epicurious.com/recipes/food/views/triple-cherries-jubilee-102146
American,,,,,,,,https://www.epicurious.com/recipes/food/views/mustard-crusted-boneless-prime-rib-roast-with-cream-sauce
American,,,,,,,,https://www.epicurious.com/recipes/food/views/frenchs-green-bean-casserole
American,,,,,,,,https://www.epicurious.com/recipes/food/views/fresh-cranberry-sauce
American,,,,,,,,https://www.epicurious.com/recipes/food/views/gold-medal-classic-biscuits
American,,,,,,,,https://www.epicurious.com/recipes/food/views/sweet-potato-casserole-with-graham-cracker-streusel
American,,,,,,,,https://www.epicurious.com/recipes/food/views/detroit-style-pizza
American,,,,,,,,https://www.epicurious.com/recipes/food/views/tamale-pie-with-fresh-tomato-and-corn
American,,,,,,,,https://www.epicurious.com/recipes/food/views/brined-turkey-breast-350853
American,,,,,,,,https://www.epicurious.com/recipes/food/views/quick-sweet-and-sour-chicken
American,,,,,,,,https://www.epicurious.com/recipes/food/views/watermelon-arugula-and-pine-nut-salad-109628
American,,,,,,,,https://www.epicurious.com/recipes/food/views/crab-rangoon-cream-cheese-crab-wonton
American,,,,,,,,https://www.epicurious.com/recipes/food/views/frozen-chocolate-bananas-240064
American,,,,,,,,https://www.epicurious.com/recipes/food/views/fresh-corn-quiche-103754
American,,,,,,,,https://www.epicurious.com/recipes/food/views/creamy-potato-salad-with-lemon-and-fresh-herbs-238804
American,,,,,,,,https://www.epicurious.com/recipes/food/views/pound-cake-with-blueberries-and-lavender-syrup-109663
American,,,,,,,,https://www.epicurious.com/recipes/food/views/crispy-cornmeal-bacon-waffles-109154
American,,,,,,,,https://www.epicurious.com/recipes/food/views/chicken-and-root-vegetable-pot-pie
American,,,,,,,,https://www.epicurious.com/recipes/food/views/homemade-american-cheese
